id,recipient_legal_name,city,province,amount,category,recipient_legal_name_clean,city_clean,category_clean
1,UQAM,Montreal,QC,100.00,Education,UQAM,Montreal,Education
2,U.Q.A.M.,Montréal,QC,120.00,Education,UQAM,Montreal,Education
3,Université du Québec à Montréal,Montreal,QC,130.00,Education,UQAM,Montreal,Education
4,Universite du Quebec a Montreal,Montreal,QC,140.00,education,UQAM,Montreal,Education
5,AQAM,Laval,QC,90.00,Education,AQAM,Laval,Education
6,?QAM,Laval,QC,92.00,Education,?QAM,Laval,Education
7,U Q A M,Montreal,QC,121.00,Education,UQAM,Montreal,Education
8,Ministère de la Santé,Québec,QC,500.00,Sante,Ministère de la Santé,Quebec,Sante
9,Ministere de la Sante,Quebec,QC,510.00,Santé,Ministère de la Santé,Quebec,Sante
10,MINISTERE SANTE,Quebec,QC,515.00,SANTE,Ministère de la Santé,Quebec,Sante
11,Ville de Montréal,Montréal,QC,700.00,Municipal,Ville de Montréal,Montreal,Municipal
12,Ville de Montreal,Montreal,QC,705.00,municipal,Ville de Montréal,Montreal,Municipal
13,Société de transport de Montréal,Montréal,QC,800.00,Transport,Societe transport Montreal,Montreal,Transport
14,Societe transport Montreal,Montreal,QC,805.00,transport,Société de transport de Montréal,Montreal,Transport
15,STM,Montreal,QC,810.00,TRANSPORT,STM,Montreal,Transport
16,Organisme sans lien,Rimouski,QC,50.00,Autre,Organisme sans lien,Rimouski,Autre
