column_name,original_value,clean_value,status,reason
id,14,14,review,score de similarite 90.0
id,10,10,review,score de similarite 90.0
id,11,11,review,score de similarite 90.0
id,12,12,review,score de similarite 90.0
id,13,13,review,score de similarite 90.0
id,15,15,review,score de similarite 90.0
id,16,16,review,score de similarite 90.0
id,17,17,review,score de similarite 90.0
id,18,18,review,score de similarite 90.0
id,19,19,review,score de similarite 90.0
id,21,21,review,score de similarite 90.0
id,31,31,review,score de similarite 90.0
id,41,41,review,score de similarite 90.0
id,3,3,review,score de similarite 90.0
id,1,1,review,score de similarite 90.0
id,4,4,review,score de similarite 90.0
id,6,6,review,score de similarite 90.0
id,7,7,review,score de similarite 90.0
id,8,8,review,score de similarite 90.0
id,9,9,review,score de similarite 90.0
id,25,25,review,score de similarite 90.0
id,20,20,review,score de similarite 90.0
id,22,22,review,score de similarite 90.0
id,23,23,review,score de similarite 90.0
id,24,24,review,score de similarite 90.0
id,26,26,review,score de similarite 90.0
id,27,27,review,score de similarite 90.0
id,28,28,review,score de similarite 90.0
id,29,29,review,score de similarite 90.0
id,32,32,review,score de similarite 90.0
id,42,42,review,score de similarite 90.0
id,2,2,review,score de similarite 90.0
id,5,5,review,score de similarite 90.0
id,30,30,review,score de similarite 90.0
id,33,33,review,score de similarite 90.0
id,34,34,review,score de similarite 90.0
id,35,35,review,score de similarite 90.0
id,36,36,review,score de similarite 90.0
id,37,37,review,score de similarite 90.0
id,38,38,review,score de similarite 90.0
id,39,39,review,score de similarite 90.0
id,43,43,review,score de similarite 90.0
id,40,40,review,score de similarite 90.0
id,44,44,review,score de similarite 90.0
id,45,45,review,score de similarite 90.0
id,46,46,review,score de similarite 90.0
id,47,47,review,score de similarite 90.0
id,48,48,review,score de similarite 90.0
id,49,49,review,score de similarite 90.0
id,50,50,review,score de similarite 90.0
date,2024-01-03,2024-01-01,accepted,score de similarite 95.0
date,2024-01-13,2024-01-01,accepted,score de similarite 95.0
date,2024-01-24,2024-01-01,accepted,score de similarite 95.0
date,2024-01-02,2024-01-01,accepted,score de similarite 95.0
date,2024-01-04,2024-01-01,accepted,score de similarite 95.0
