column_name,original_value,normalized_value,suggested_group,similarity_score,count,decision
id,14,14,1,90.0,2,review
id,10,10,1,90.0,1,review
id,11,11,1,90.0,1,review
id,12,12,1,90.0,1,review
id,13,13,1,90.0,1,review
id,15,15,1,90.0,1,review
id,16,16,1,90.0,1,review
id,17,17,1,90.0,1,review
id,18,18,1,90.0,1,review
id,19,19,1,90.0,1,review
id,21,21,1,90.0,1,review
id,31,31,1,90.0,1,review
id,41,41,1,90.0,1,review
id,3,3,13,90.0,1,review
id,1,1,14,90.0,1,review
id,4,4,14,90.0,1,review
id,6,6,16,90.0,1,review
id,7,7,17,90.0,1,review
id,8,8,18,90.0,1,review
id,9,9,19,90.0,1,review
id,25,25,2,90.0,2,review
id,20,20,2,90.0,1,review
id,22,22,2,90.0,1,review
id,23,23,2,90.0,1,review
id,24,24,2,90.0,1,review
id,26,26,2,90.0,1,review
id,27,27,2,90.0,1,review
id,28,28,2,90.0,1,review
id,29,29,2,90.0,1,review
id,32,32,2,90.0,1,review
id,42,42,2,90.0,1,review
id,2,2,25,90.0,1,review
id,5,5,25,90.0,1,review
id,30,30,3,90.0,1,review
id,33,33,3,90.0,1,review
id,34,34,3,90.0,1,review
id,35,35,3,90.0,1,review
id,36,36,3,90.0,1,review
id,37,37,3,90.0,1,review
id,38,38,3,90.0,1,review
id,39,39,3,90.0,1,review
id,43,43,3,90.0,1,review
id,40,40,4,90.0,1,review
id,44,44,4,90.0,1,review
id,45,45,4,90.0,1,review
id,46,46,4,90.0,1,review
id,47,47,4,90.0,1,review
id,48,48,4,90.0,1,review
id,49,49,4,90.0,1,review
id,50,50,5,90.0,2,review
date,2024-01-03,2024 01 03,2024-01-01,95.0,2,accepted
date,2024-01-13,2024 01 13,2024-01-01,95.0,2,accepted
date,2024-01-24,2024 01 24,2024-01-01,95.0,2,accepted
date,2024-01-02,2024 01 02,2024-01-01,95.0,1,accepted
date,2024-01-04,2024 01 04,2024-01-01,95.0,1,accepted
date,2024-01-05,2024 01 05,2024-01-01,95.0,1,accepted
date,2024-01-06,2024 01 06,2024-01-01,95.0,1,accepted
date,2024-01-08,2024 01 08,2024-01-01,95.0,1,accepted
date,2024-01-09,2024 01 09,2024-01-01,95.0,1,accepted
date,2024-01-10,2024 01 10,2024-01-01,95.0,1,accepted
date,2024-01-11,2024 01 11,2024-01-01,95.0,1,accepted
date,2024-01-12,2024 01 12,2024-01-01,95.0,1,accepted
date,2024-01-14,2024 01 14,2024-01-01,95.0,1,accepted
date,2024-01-15,2024 01 15,2024-01-01,95.0,1,accepted
date,2024-01-16,2024 01 16,2024-01-01,95.0,1,accepted
date,2024-01-17,2024 01 17,2024-01-01,95.0,1,accepted
date,2024-01-18,2024 01 18,2024-01-01,95.0,1,accepted
date,2024-01-19,2024 01 19,2024-01-01,95.0,1,accepted
date,2024-01-20,2024 01 20,2024-01-01,95.0,1,accepted
date,2024-01-21,2024 01 21,2024-01-01,95.0,1,accepted
date,2024-01-22,2024 01 22,2024-01-01,95.0,1,accepted
date,2024-01-23,2024 01 23,2024-01-01,95.0,1,accepted
date,2024-01-25,2024 01 25,2024-01-01,95.0,1,accepted
date,2024-01-26,2024 01 26,2024-01-01,95.0,1,accepted
date,2024-01-27,2024 01 27,2024-01-01,95.0,1,accepted
date,2024-01-28,2024 01 28,2024-01-01,95.0,1,accepted
